# Combined experiment tracking
timestamp,exp_id,exp_type,directory,ntasks,ntasks_per_node,ncore,kpar,job_id,runtime_seconds,status
2025-05-21 03:07:52,20250521_025318_64e97127,exp1,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Hf1_Zr1_Sc2_Nb2_Zn1_etc_ml-1006228_,16,16,,,19041_4,861,COMPLETED
2025-05-21 03:09:03,20250521_025318_64e97127,exp1,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Ta1_Nb1_Zn1_Cd1_Re3_etc_ml-1006227_,16,16,,,19041_2,944,COMPLETED
2025-05-21 03:14:26,20250521_025318_64e97127,exp1,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Sc1_Ta2_Mn2_Nb1_Zn1_etc_ml-1006226_,16,16,,,19041_1,1267,COMPLETED
2025-05-21 03:18:21,20250521_025318_f6492e6d,exp1,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Hf1_Zr1_Sc2_Nb2_Zn1_etc_ml-1006228_,8,8,,,19040_4,1502,COMPLETED
2025-05-21 03:21:53,20250521_025318_f6492e6d,exp1,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Ta1_Nb1_Zn1_Cd1_Re3_etc_ml-1006227_,8,8,,,19040_2,1714,COMPLETED
2025-05-21 03:26:42,20250521_025318_78090a0b,exp1,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Ta1_Nb1_Zn1_Cd1_Re3_etc_ml-1006227_,20,20,,,19042_2,736,COMPLETED
2025-05-21 03:31:41,20250521_025318_78090a0b,exp1,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Sc1_Ta2_Mn2_Nb1_Zn1_etc_ml-1006226_,20,20,,,19042_1,1358,COMPLETED
2025-05-21 03:34:44,20250521_025318_78090a0b,exp1,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Hf1_Zr1_Sc2_Nb2_Zn1_etc_ml-1006228_,20,20,,,19042_4,759,COMPLETED
2025-05-21 03:42:59,20250521_025318_b5b2b4a3,exp1,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Ta1_Nb1_Zn1_Cd1_Re3_etc_ml-1006227_,24,24,,,19043_2,678,COMPLETED
2025-05-21 03:43:18,20250521_025318_f6492e6d,exp1,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Sc1_Ta2_Mn2_Nb1_Zn1_etc_ml-1006226_,8,8,,,19040_1,2999,COMPLETED
2025-05-21 03:45:53,20250521_025318_b5b2b4a3,exp1,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Sc1_Ta2_Mn2_Nb1_Zn1_etc_ml-1006226_,24,24,,,19043_1,1126,COMPLETED
2025-05-21 03:47:29,20250521_025318_b5b2b4a3,exp1,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Hf1_Zr1_Sc2_Nb2_Zn1_etc_ml-1006228_,24,24,,,19043_4,751,COMPLETED
2025-05-21 04:01:08,20250521_025318_aacba77f,exp1,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Sc1_Ta2_Mn2_Nb1_Zn1_etc_ml-1006226_,32,32,,,19044_1,1061,COMPLETED
2025-05-21 04:07:40,20250521_025318_aacba77f,exp1,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Ta1_Nb1_Zn1_Cd1_Re3_etc_ml-1006227_,32,32,,,19044_2,1307,FAILED
2025-05-21 04:08:16,20250521_025318_d1841744,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Ta1_Nb1_Zn1_Cd1_Re3_etc_ml-1006227_,8,8,2,2,19053_2,1232,COMPLETED
2025-05-21 04:09:43,20250521_025318_aacba77f,exp1,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Hf1_Zr1_Sc2_Nb2_Zn1_etc_ml-1006228_,32,32,,,19044_4,504,COMPLETED
2025-05-21 04:09:54,20250521_025318_d1841744,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Hf1_Zr1_Sc2_Nb2_Zn1_etc_ml-1006228_,8,8,2,2,19053_4,1330,COMPLETED
2025-05-21 04:17:00,20250521_025318_d1841744,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Sc1_Ta2_Mn2_Nb1_Zn1_etc_ml-1006226_,8,8,2,2,19053_1,1996,COMPLETED
2025-05-21 04:19:00,20250521_025319_19a1cb82,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Sc1_Ta2_Mn2_Nb1_Zn1_etc_ml-1006226_,8,8,4,2,19054_1,1786,COMPLETED
2025-05-21 04:20:10,20250521_025319_98684b24,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Ta1_Nb1_Zn1_Cd1_Re3_etc_ml-1006227_,16,16,2,4,19056_2,627,COMPLETED
2025-05-21 04:20:33,20250521_025319_19a1cb82,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Ta1_Nb1_Zn1_Cd1_Re3_etc_ml-1006227_,8,8,4,2,19054_2,1129,COMPLETED
2025-05-21 04:21:29,20250521_025319_98684b24,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Hf1_Zr1_Sc2_Nb2_Zn1_etc_ml-1006228_,16,16,2,4,19056_4,685,COMPLETED
2025-05-21 04:24:57,20250521_025319_6cedcda5,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Hf1_Zr1_Sc2_Nb2_Zn1_etc_ml-1006228_,8,8,8,1,19055_4,1001,COMPLETED
2025-05-21 04:26:15,20250521_025319_19a1cb82,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Hf1_Zr1_Sc2_Nb2_Zn1_etc_ml-1006228_,8,8,4,2,19054_4,1441,COMPLETED
2025-05-21 04:26:26,20250521_025319_6cedcda5,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Ta1_Nb1_Zn1_Cd1_Re3_etc_ml-1006227_,8,8,8,1,19055_2,1101,COMPLETED
2025-05-21 04:27:24,20250521_025319_98684b24,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Sc1_Ta2_Mn2_Nb1_Zn1_etc_ml-1006226_,16,16,2,4,19056_1,1061,COMPLETED
2025-05-21 04:30:14,20250521_025319_6a221fc2,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Ta1_Nb1_Zn1_Cd1_Re3_etc_ml-1006227_,16,16,4,2,19057_2,604,COMPLETED
2025-05-21 04:33:07,20250521_025319_6a221fc2,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Hf1_Zr1_Sc2_Nb2_Zn1_etc_ml-1006228_,16,16,4,2,19057_4,688,COMPLETED
2025-05-21 04:34:26,20250521_025319_6cedcda5,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Sc1_Ta2_Mn2_Nb1_Zn1_etc_ml-1006226_,8,8,8,1,19055_1,1581,COMPLETED
2025-05-21 04:34:42,20250521_025319_6a221fc2,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Sc1_Ta2_Mn2_Nb1_Zn1_etc_ml-1006226_,16,16,4,2,19057_1,922,COMPLETED
2025-05-21 04:35:29,20250521_025319_839b26c4,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Ta1_Nb1_Zn1_Cd1_Re3_etc_ml-1006227_,16,16,8,2,19058_2,554,COMPLETED
2025-05-21 04:37:57,20250521_025319_839b26c4,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Hf1_Zr1_Sc2_Nb2_Zn1_etc_ml-1006228_,16,16,8,2,19058_4,624,COMPLETED
2025-05-21 04:39:43,20250521_025319_839b26c4,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Sc1_Ta2_Mn2_Nb1_Zn1_etc_ml-1006226_,16,16,8,2,19058_1,867,COMPLETED
2025-05-21 04:46:34,20250521_025319_6865a059,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Ta1_Nb1_Zn1_Cd1_Re3_etc_ml-1006227_,20,20,2,5,19059_2,516,COMPLETED
2025-05-21 04:48:32,20250521_025319_6865a059,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Sc1_Ta2_Mn2_Nb1_Zn1_etc_ml-1006226_,20,20,2,5,19059_1,830,COMPLETED
2025-05-21 04:49:11,20250521_025319_6865a059,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Hf1_Zr1_Sc2_Nb2_Zn1_etc_ml-1006228_,20,20,2,5,19059_4,560,COMPLETED
2025-05-21 04:56:08,20250521_025319_5303de04,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Ta1_Nb1_Zn1_Cd1_Re3_etc_ml-1006227_,20,20,4,5,19060_2,456,COMPLETED
2025-05-21 04:57:38,20250521_025319_5303de04,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Hf1_Zr1_Sc2_Nb2_Zn1_etc_ml-1006228_,20,20,4,5,19060_4,498,COMPLETED
2025-05-21 04:58:56,20250521_025319_5303de04,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Sc1_Ta2_Mn2_Nb1_Zn1_etc_ml-1006226_,20,20,4,5,19060_1,723,COMPLETED
2025-05-21 05:09:55,20250521_025319_ee35f8ea,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Ta1_Nb1_Zn1_Cd1_Re3_etc_ml-1006227_,20,20,8,1,19061_2,737,COMPLETED
2025-05-21 05:11:46,20250521_025319_ee35f8ea,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Hf1_Zr1_Sc2_Nb2_Zn1_etc_ml-1006228_,20,20,8,1,19061_4,758,COMPLETED
2025-05-21 05:19:09,20250521_025319_c7108a1d,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Ta1_Nb1_Zn1_Cd1_Re3_etc_ml-1006227_,24,24,2,4,19062_2,443,COMPLETED
2025-05-21 05:19:19,20250521_025319_ee35f8ea,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Sc1_Ta2_Mn2_Nb1_Zn1_etc_ml-1006226_,20,20,8,1,19061_1,1371,COMPLETED
2025-05-21 05:22:23,20250521_025319_c7108a1d,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Sc1_Ta2_Mn2_Nb1_Zn1_etc_ml-1006226_,24,24,2,4,19062_1,724,COMPLETED
2025-05-21 05:29:07,20250521_025319_d4942279,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Ta1_Nb1_Zn1_Cd1_Re3_etc_ml-1006227_,24,24,4,3,19063_2,404,COMPLETED
2025-05-21 05:29:15,20250521_025319_c7108a1d,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Hf1_Zr1_Sc2_Nb2_Zn1_etc_ml-1006228_,24,24,2,4,19062_4,597,COMPLETED
2025-05-21 05:30:34,20250521_025319_d4942279,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Sc1_Ta2_Mn2_Nb1_Zn1_etc_ml-1006226_,24,24,4,3,19063_1,656,COMPLETED
2025-05-21 05:36:50,20250521_025319_72175fad,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Ta1_Nb1_Zn1_Cd1_Re3_etc_ml-1006227_,24,24,8,3,19064_2,374,COMPLETED
2025-05-21 05:37:05,20250521_025319_d4942279,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Hf1_Zr1_Sc2_Nb2_Zn1_etc_ml-1006228_,24,24,4,3,19063_4,470,COMPLETED
2025-05-21 05:39:22,20250521_025319_72175fad,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Sc1_Ta2_Mn2_Nb1_Zn1_etc_ml-1006226_,24,24,8,3,19064_1,587,COMPLETED
2025-05-21 05:44:01,20250521_025319_72175fad,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Hf1_Zr1_Sc2_Nb2_Zn1_etc_ml-1006228_,24,24,8,3,19064_4,423,COMPLETED
2025-05-21 05:45:25,20250521_025319_dc2e2461,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Ta1_Nb1_Zn1_Cd1_Re3_etc_ml-1006227_,32,32,2,4,19065_2,363,COMPLETED
2025-05-21 05:47:51,20250521_025319_dc2e2461,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Sc1_Ta2_Mn2_Nb1_Zn1_etc_ml-1006226_,32,32,2,4,19065_1,627,COMPLETED
2025-05-21 05:51:01,20250521_025319_dc2e2461,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Hf1_Zr1_Sc2_Nb2_Zn1_etc_ml-1006228_,32,32,2,4,19065_4,411,COMPLETED
2025-05-21 05:53:09,20250521_025319_13883fb7,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Ta1_Nb1_Zn1_Cd1_Re3_etc_ml-1006227_,32,32,4,4,19066_2,318,COMPLETED
2025-05-21 05:54:09,20250521_025319_13883fb7,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Sc1_Ta2_Mn2_Nb1_Zn1_etc_ml-1006226_,32,32,4,4,19066_1,504,COMPLETED
2025-05-21 05:57:09,20250521_025319_13883fb7,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Hf1_Zr1_Sc2_Nb2_Zn1_etc_ml-1006228_,32,32,4,4,19066_4,359,COMPLETED
2025-05-21 05:59:16,20250521_025319_44e93e47,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Ta1_Nb1_Zn1_Cd1_Re3_etc_ml-1006227_,32,32,8,2,19067_2,306,COMPLETED
2025-05-21 06:01:36,20250521_025319_44e93e47,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Sc1_Ta2_Mn2_Nb1_Zn1_etc_ml-1006226_,32,32,8,2,19067_1,489,COMPLETED
2025-05-21 06:03:09,20250521_025319_44e93e47,exp2,/home/m.lukianov/vasp--bench/algo-normal/e--16-n/Hf1_Zr1_Sc2_Nb2_Zn1_etc_ml-1006228_,32,32,8,2,19067_4,351,COMPLETED
